"ID","SchulNr","Name","SchulformNr","SchulformKrz","SchulformBez","Strassenname","HausNr","HausNrZusatz","PLZ","Ort","Telefon","Fax","Email","Schulleiter","Sortierung","Sichtbar","Aenderbar","SchulNr_SIM","Kuerzel","KurzBez"
34,"129689",Hansaschule Städt. Gem. Grundschule - Primarstufe -,"02",G,Grundschule,Welkenerstr.,"24","","44369",Dortmund,"0231-8479590","0231-84795925",,,32000,+,+,"129689",,"Dortmund, GG Hansa"
35,"151040",Gem. Grundschule Siegburg-Kaldauen  ,"02",G,Grundschule,Friedensstr.,"30","","53721",Siegburg,"02241-250150","02241-2501515",,,32000,+,+,"151040",,"Siegburg, GG Kaldauen"
36,"103100",Heinrichsschule Städt. Gem. Grundschule ,"02",G,Grundschule,Körnerstr.,"17","","47829",Krefeld,"02151-474111","02151-473233",,,32000,+,+,"103100",,"Krefeld, GG Heinrich"
37,"112434",Städt. Gem. Grundschule - Primarstufe - ,"02",G,Grundschule,An den Kaulen,"62-64","","50769",Köln,"0221-35582240","0221-35582243",,,32000,+,+,"112434",,"Köln, GG An den Kaulen"
38,"111405",Städt. Kath. Grundschule  ,"02",G,Grundschule,Gutnickstr.,"37","","50769",Köln,"0221-28552660","0221-285526618",,,32000,+,+,"111405",,"Köln, KG Gutnickstr."
39,"116350",Städt. Kath. Grundschule  ,"02",G,Grundschule,Höfchensweg,"44","","52066",Aachen,"0241-65344","0241-6088981",schulleitung@kgsh-mail.de,,32000,+,+,"116350",,"Aachen, KG Höfchensweg"
40,"132895",Städt. Gem. Grundschule Bruchfeld  ,"02",G,Grundschule,Lessingstr.,"10","","45525",Hattingen,"02324-950673","02324-950674",,,32000,+,+,"132895",,"Hattingen, GG Bruchfeld"
41,"109230",Waldschule Städt. Gem. Grundschule ,"02",G,Grundschule,Maria-Djuk-Straße,"7","","47447",Moers,"02841-31216",-,,,32000,+,+,"109230",,"Moers, GG Wald"
42,"120224",Martin-Luther-Schule Gem. Grundschule - Primarstufe -,"02",G,Grundschule,Herzogstraße,"26","","48599",Gronau (Westf.),"02562-965020","02562-97603",,,32000,+,+,"120224",,"Gronau, GG Martin-Luther-Schule"
43,"185619",Piusschule Kath. Grundschule Krechting ,"02",G,Grundschule,Finkestr.,"20","","46414",Rhede,"02872-931780","02872-9317831",,,32000,+,+,"185619",,"Rhede, KG Piusschule"
44,"107219",Gem. Grundschule Knittkuhl - Primarstufe - ,"02",G,Grundschule,Am Mergelsberg,"1","","40629",Düsseldorf,"0211-9293604","0211-2914107",,,32000,+,+,"107219",,"Düsseldorf, GG Knittkuhl"
45,"124345",Städt. Gem. Grundschule Ummeln  ,"02",G,Grundschule,Quittenweg,"15","","33649",Bielefeld,"0521-557994111","0521-557994115",,,32000,+,+,"124345",,"Bielefeld, GG Ummeln"
46,"120704",Gutenbergschule Städt. Gem. Grundschule ,"02",G,Grundschule,Schlägelstr.,"20","","59073",Hamm,"02381-304365","02381-304368",,,32000,+,+,"120704",,"Hamm, GG Gutenbergschule"
47,"113852",Johannesschule Städt. Gem. Grundschule Königsdorf ,"02",G,Grundschule,Friedrich-Ebert-Straße,"63","","50226",Frechen,"02234-9999901","02234-691544",,,32000,+,+,"113852",,"Frechen, GG Johannesschule"
48,"126640",Gem. Grundschule Nord  ,"02",G,Grundschule,Schulstr.,"21","","33818",Leopoldshöhe,"05208-991350","05208-991354",H.-J.Niehage@Leopoldshoehe.de,,32000,+,+,"126640",,"Leopoldshöhe, GG Nord"
49,"124552",Städt. Gem. Grundschule Oldentrup  ,"02",G,Grundschule,Krähenwinkel,"2","","33719",Bielefeld,"0521-557995911","0521-557995915",,,32000,+,+,"124552",,"Bielefeld, GG Oldentrup"
50,"135495",Wiese-Grundschule Städt.Gem.Grundschule ,"02",G,Grundschule,Im Tabrock,"18","","59494",Soest,"02921-81253","02921-82160",wiese.schule@epost.de,,32000,+,+,"135495",,"Soest, GG Wiese"
51,"107323",Brüder-Grimm-Schule Gem. Grundschule der Gemeinde Issum,"02",G,Grundschule,Neustr.,"37","","47661",Issum,"02835-2382","02835-445882",,,32000,+,+,"107323",,"Issum, GG Brüder-Grimm"
52,"101023",Heinrich-Heine-Schule Städt. Gem. Grundschule mit katholischem Teilstandort -Primarstufe-,"02",G,Grundschule,Heerdter Landstr.,"186","","40549",Düsseldorf,"0211-5628700","0211-5048581",,,32000,+,+,"101023",,"Düsseldorf, GG (Verb.) Heinrich-Heine"
53,"192480",August-Hermann-Francke-Grundschule Detm. -P-Evang.priv.Grundschule als Ersatzsch. in fr.Trägersch.d.,"02",G,Grundschule,Georgstr.,"16","","32756",Detmold,"05231-59890",-,,,32000,+,+,"192480",,"Detmold, EG August-Hermann-Francke"
54,"128557",Grundschule Linden Städt. Gem. Grundschule ,"02",G,Grundschule,Donnerbecke,"3","","44879",Bochum,"0234-9422090","0234-9422092",,,32000,+,+,"128557",,"Bochum, GG Linden"
55,"120297",Fliednerschule Kath. Grundschule - Primarstufe -,"02",G,Grundschule,Schanzring,"39","","48703",Stadtlohn,"02563-97758","02563-204741",Fliednerschulea@tStadtlohn,,32000,+,+,"120297",,"Stadtlohn, KG Fliedner"
56,"114613",Kath. Grundschule Bensberg  ,"02",G,Grundschule,Eichelstr.,"9-11","","51429",Bergisch Gladbach,"02204-51900","02204-56780",info@kgs-bensberg.de,,32000,+,+,"114613",,"Bergisch Gladbach, KG Bensberg"
57,"104838",Städt. Gemeinschaftsgrundschule Kremenholl - Primarstufe -,"02",G,Grundschule,Kremenholler Str.,"66","","42857",Remscheid,"02191-780192","02191-4634897",,,32000,+,+,"104838",,"Remscheid, GG Kremenholl"
58,"123353",Werner-Rolevinck-Schule Kath. Grundschule ,"02",G,Grundschule,Kolpingweg,"9","","48366",Laer,"02554-9407940","02554-940794300",,,32000,+,+,"123353",,"Laer, KG Werner-Rolevinck-Schule"
59,"112136",Städt. Kath. Grundschule Am Portzenacker - Primarstufe -,"02",G,Grundschule,Am Portzenacker,"1",b,"51069",Köln,"0221-82337510","0221-823375113",,,32000,+,+,"112136",,"Köln, KG Am Portzenacker"
60,"122191",Nikolaischule Wolbeck Kath. Grundschule ,"02",G,Grundschule,Am Wigbold,"11","","48167",Münster,"02506-563","02506-302797",,,32000,+,+,"122191",,"Münster, KG Nikolaischule Wolbeck"
61,"191802",Gem. Grundschule auf der Insel der Gemeinde Augustdorf - Primarstufe -,"02",G,Grundschule,Stadionstraße,"7","","32832",Augustdorf,"05237-99104","05237-99105",,,32000,+,+,"191802",,"Augustdorf, GG auf der Insel"
62,"117195",Gem. Grundschule Zweifall  ,"02",G,Grundschule,Kornbendstr.,"34","","52224",Stolberg (Rhld.),"02402-72064","02402-1027742",,,32000,+,+,"117195",,"Stolberg, GG Zweifall"
63,"116336",Städt. Kath. Grundschule Forster Linde  ,"02",G,Grundschule,Lintertstr.,"68","","52076",Aachen,"0241-572803","0241-59107",,,32000,+,+,"116336",,"Aachen, KG Forster Linde"
64,"111170",Engelsbachschule Katholische Grundschule der Stadt Bonn,"02",G,Grundschule,Saalestraße,"27","","53127",Bonn,"0228-283695","0228-285013",,,32000,+,+,"111170",,"Bonn, KG Engelsbachschule"
65,"190111",Gem. Grundschule Oberwiehl  ,"02",G,Grundschule,Hindelanger Straße,"5","","51674",Wiehl,"02262-93352","02262-91585",,,32000,+,+,"190111",,"Wiehl, GG Oberwiehl"
66,"193574",Städt. Gem. Grundschule Am Kohlberg - Primarstufe - ,"02",G,Grundschule,Schulzentrum Rothenstein,"","","58540",Meinerzhagen,"02354-904604","02354-904605",,,32000,+,+,"193574",,"Meinerzhagen, GG Am Kohlberg"
67,"119763",Dreifaltigkeitsschule Städt. Kath. Grundschule ,"02",G,Grundschule,Friesenring,"25","","48147",Münster,"0251-22676","0251-22676",,,32000,+,+,"119763",,"Münster, KG Dreifaltigkeits"
68,"118965",Martin-Luther-Schule Grundschule an der Fürstinnenstraße Städt. Evang. Schule der Primarstufe,"02",G,Grundschule,Fürstinnenstr.,"53","","45883",Gelsenkirchen,"0209-408584121","0209-408584129",,,32000,+,+,"118965",,"Gelsenkirchen, EG Martin-Luther-Schule"
69,"101151",Städt. Gem. Grundschule - Primarstufe - ,"02",G,Grundschule,Friedenstr.,"5-7","","47053",Duisburg,"0203-60800911","0203-69854",,,32000,+,+,"101151",,"Duisburg, GG Friedenstr."
70,"183891",Städt. Gem. Grundschule Bollenberg - Primarstufe - ,"02",G,Grundschule,Robert-Koch-Str.,"27","","42781",Haan,"02129-565460","02129-5654629",,,32000,+,+,"183891",,"Haan, GG Bollenberg"
71,"135288",Gem. Grundschule Wilnsdorf  ,"02",G,Grundschule,Vorm Brand,"30","","57234",Wilnsdorf,"02739-6464","02739-6017",,,32000,+,+,"135288",,"Wilnsdorf, GG Vorm Brand"
72,"105909",Städt. Gem. Grundschule  ,"02",G,Grundschule,Kruppstr.,"139","","42113",Wuppertal,"0202-5632228","0202-763318",,,32000,+,+,"105909",,"Wuppertal, GG Kruppstr."
73,"112045",Maria-Sybilla-Merian-Schule Städt. Gem. Grundschule ,"02",G,Grundschule,Cäsarstr.,"21","","50968",Köln,"0221-222101420","0221-222101429",,,32000,+,+,"112045",,"Köln, GG Maria-Sybilla-Merian-Schule"
74,"151415",Kreuzschule Mussum Städt. Kath. Grundschule ,"02",G,Grundschule,Mussumer Esch,"4","","46395",Bocholt,"02871-13209","02871-13255",,,32000,+,+,"151415",,"Bocholt, KG Kreuzschule"
75,"112409",Städt. Gem. Grundschule  ,"02",G,Grundschule,Rosenzweigweg,"3","","50969",Köln,"0221-99220850","0221-992208518",,,32000,+,+,"112409",,"Köln, GG Rosenzweigweg"
76,"192119",Gesamtschule der Stadt Bergheim - Sekundarstufen I und II - in Quadrath-Ichendorf,"15",GE,Gesamtschule,Herbergerstr.,"6-8","","50127",Bergheim,"02271-799690","02271-7996999",,,32000,+,+,"192119",,"Bergheim, GE Herbergerstr."
77,"186740",Städt. Gesamtschule Wanne-Eickel - Sekundarstufen I und II - ,"15",GE,Gesamtschule,Stöckstraße,"41","","44649",Herne,"02323-164410","02323-164412",,,32000,+,+,"186740",,"Herne, GE Wanne-Eickel"
78,"193630",Janusz-Korczak-Gesamtschule Städt. Gesamtschule - Sekundarstufen I und II -,"15",GE,Gesamtschule,Schledebrückstr.,"170","","33334",Gütersloh,"05241-823600","05241-823603",,,32000,+,+,"193630",,"Gütersloh, GE Janusz-Korczak"
79,"189078",Willy-Brandt-Schule d.Stadt Mülheim an der Ruhr Sek I und II - Sekundarstufen I und II -,"15",GE,Gesamtschule,Willy-Brandt-Platz 1 und,"2","","45476",Mülheim an der Ruhr,"0208-4554400","0208-4554499",,,32000,+,+,"189078",,"Mülheim an der Ruhr, GE Willy-Brandt"
80,"192508",Private Evangelikale Bekenntnisschule Priv.Gesamtschule -Sek.I-d.Trägervereins d.Evangelikalen Beken,"15",GE,Gesamtschule,Detmolder Straße,"284","","33605",Bielefeld,"0521-9229431","0521-9229433",,,32000,+,+,"192508",,"Bielefeld,GE Evangelikale Bekenntnissch."
81,"189856",Städt. Gesamtschule Langerfeld - Sekundarstufen I und II - ,"15",GE,Gesamtschule,Heinrich-Böll-Str.,"240-250","","42277",Wuppertal,"0202-5636652","0202-5638151",,,32000,+,+,"189856",,"Wuppertal, GE Langerfeld"
82,"198298",Städtische Gesamtschule Bocholt - Sekundarstufen I und II - ,"15",GE,Gesamtschule,Rheinstr.,"4","","46395",Bocholt,"02871-2416267","02871-2416266",,,32000,+,+,"198298",,"Bocholt, GE Rheinstraße"
83,"187781",Heinrich-Böll-Gesamtschule - Sekundarstufen I und II - ,"15",GE,Gesamtschule,Schmachtendorfer Straße,"165","","46147",Oberhausen,"0208-625230","0208-6252312",,,32000,+,+,"187781",,"Oberhausen, GE Heinrich-Böll"
84,"190081",Gesamtschule der Gemeinde Hüllhorst - Sekundarstufen I und II - ,"15",GE,Gesamtschule,Osterstraße,"7","","32609",Hüllhorst,"05744-93090","05744-930940",,,32000,+,+,"190081",,"Hüllhorst, GE Osterstraße"
85,"190378",Gesamtschule der Gemeinde Rödinghausen - Sekundarstufen I und II - ,"15",GE,Gesamtschule,An der Stertwelle,"34-38","","32289",Rödinghausen,"05746-93860","05746-938640",,,32000,+,+,"190378",,"Rödinghausen, GE An der Stertwelle"
86,"189819",Hulda-Pankok-Schule Städt. Gesamtschule - Sekundarstufen I und II -,"15",GE,Gesamtschule,Brinckmannstraße,"16","","40225",Düsseldorf,"0211-8928241","0211-8929215",,,32000,+,+,"189819",,"Düsseldorf, GE Hulda-Pankok-Schule"
87,"196423",Fritz-Bauer-Gesamtschule der Stadt Sankt Augustin ,"15",GE,Gesamtschule,Siegstr.,"123","","53757",Sankt Augustin,"02241-1650980","02241-16509819",,,32000,+,+,"196423",,"Sankt Augustin, GE Fritz-Bauer"
88,"100025",Montessori Gesamtschule Sendenhorst Staatl. gen. Ersatzschule der Sekundarstufen I und II,"15",GE,Gesamtschule,Teigelkamp,"5","","48324",Sendenhorst,"02526-937407","02526-950041",,,32000,+,+,"100025",,"Sendenhorst, GE Teigelkamp"
89,"192582",Georg-Müller-Schule Priv. evangelische Gesamtschule - Sekundarstufe I -  Ersatzschule,"15",GE,Gesamtschule,Genossenschaftsweg,"1",b,"58300",Wetter (Ruhr),"02335-84430","02335-844310",,,32000,+,+,"192582",,"Wetter, GE Georg-Müller-Schule"
90,"189273",Gesamtschule Kaiserplatz der Stadt Krefeld - Sekundarstufen I und II -,"15",GE,Gesamtschule,Kaiserplatz,"50","","47800",Krefeld,"02151-53990","02151-539980",,,32000,+,+,"189273",,"Krefeld, GE Kaiserplatz"
91,"196940",Städtische Gesamtschule Münster-Mitte  ,"15",GE,Gesamtschule,Jüdefelderstr.,"10","","48143",Münster,"0251-38450400","0251-38450449",,,32000,+,+,"196940",,"Münster, GE Jüdefelderstraße"
92,"196861",Heinz-Nixdorf-Gesamtschule - Sekundarstufen I und II - Schule der Stadt Paderborn,"15",GE,Gesamtschule,An den Lothewiesen,"6-8","","33100",Paderborn,"05251-1549250","05251-1549255",,,32000,+,+,"196861",,"Paderborn, GE Heinz-Nixdorf-Gesamtschule"
93,"193641",Europaschule Dortmund Städt. Gesamtschule - Sekundarstufen I und II -,"15",GE,Gesamtschule,Am Gottesacker,"64","","44143",Dortmund,"0231-5622750","0231-56227525",,,32000,+,+,"193641",,"Dortmund, GE Europaschule"
94,"164720",Viktoria-Gymnasium Städt. Gymnasium für Jungen und Mädchen - Sekundarstufen I und II -,"20",GY,Gymnasium,Kurfürstenplatz,"1","","45138",Essen,"0201-8569130","0201-8569131",,,32000,+,+,"164720",,"Essen, Gym Viktoria"
95,"168890",Engelbert-Kaempfer-Gymnasium Städt. Gymnasium für Jungen und Mädchen - Sekundarstufen I und II -,"20",GY,Gymnasium,Rampendal,"63","","32657",Lemgo,"05261-94700","05261-947017",ekg@schulen-lemgo.de,,32000,+,+,"168890",EKG,"Lemgo, Gym Engelbert-Kaempfer"
96,"170331",Gymnasium Am Löhrtor der Stadt Siegen - Sekundarstufen I und II -,"20",GY,Gymnasium,Oranienstr.,"27","","57072",Siegen,"0271-51516","0271-22855",,,32000,+,+,"170331",,"Siegen, Gym Am Löhrtor"
97,"100040",Gymnasium Zusestraße  ,"20",GY,Gymnasium,Neue Sandkaul,"29","","50859",Köln,-,-,,,32000,+,+,"100040",,"Köln, Gym Zusestraße"
98,"167198",Konrad-Adenauer-Gymnasium - Schulzentrum - ,"20",GY,Gymnasium,Königsberger Str.,"30","","53340",Meckenheim,"02225-917401","02225-917403",,,32000,+,+,"167198",,"Meckenheim, Gym Konrad-Adenauer"
99,"168828",Gymnasium Brede Staatl. genehmigtes Gymnasium für Jungen und Mädchen,"20",GY,Gymnasium,Bredenweg,"7","","33034",Brakel,"05272-39160","05272-391621",,,32000,+,+,"168828",,"Brakel, Gym Brede"
100,"165475",Städt. Gymnasium Sedanstraße  ,"20",GY,Gymnasium,Sedanstraße,"4-14","","42275",Wuppertal,"0202-5636456","0202-5638117",,,32000,+,+,"165475",,"Wuppertal, Gym Sedanstr."
101,"184159",Paul-Klee-Gymnasium der Stadt Overath ,"20",GY,Gymnasium,Perenchiesstr.,"3","","51491",Overath,"02206-9050960","02206-9050999",,,32000,+,+,"184159",,"Overath, Gym Paul-Klee"
102,"166777",Städt. Gutenberg Gymnasium  ,"20",GY,Gymnasium,Gutenbergstraße,"2-6","","50126",Bergheim,"02271-768670","02271-7686767",,,32000,+,+,"166777",,"Bergheim, Gym Gutenberg"
103,"194025",Städt. Gymnasium Delbrück - Sekundarstufen I und II - ,"20",GY,Gymnasium,Marktstr.,"2","","33129",Delbrück,"05250-996-460","05250-996326",,,32000,+,+,"194025",,"Delbrück, Gym Marktstr."
104,"165207",Städt. Heinrich-Heine-Gymnasium  ,"20",GY,Gymnasium,Lohstr.,"29","","46047",Oberhausen,"0208-410010","0208-4100129",,,32000,+,+,"165207",,"Oberhausen, Gym Heinrich-Heine"
105,"191711",Gymnasium Odenthal  ,"20",GY,Gymnasium,Bergisch Gladbacher Str.,"10","","51519",Odenthal,"02202-97670","02202-976730",,,32000,+,+,"191711",,"Odenthal, Gym Bergisch Gladbacher Straße"
106,"166200",Werner-Heisenberg-Gymnasium Städt. Gym. - Sekundarstufen I und II - Leverkusen-Lützenkirchen,"20",GY,Gymnasium,Werner-Heisenberg-Straße,"1","","51381",Leverkusen,"02171-70670","02171-706741","166200@schule.nrw.de",,32000,+,+,"166200",WHG,"Leverkusen, Gym Werner-Heisenberg"
107,"170197",Gymnasium der Stadt Meschede - Sekundarstufen I und II - im August-Macke-Schulzentrum,"20",GY,Gymnasium,Schederweg,"65","","59872",Meschede,"0291-99380","0291-993899",,,32000,+,+,"170197",,"Meschede, Gym Schederweg"
108,"169092",Ev. Stift. Gymnasium Gütersloh Öffentl.Gymn.i.Trägersch.e.Kuratoriums - Sekundarstufen I und II -,"20",GY,Gymnasium,Feldstr.,"13","","33330",Gütersloh,"05241-98050",-,kerber@ev-stift-gymn.guetersloh.de,,32000,+,+,"169092",,"Gütersloh, Gym Stifts"
109,"165839",Gymnasium St.Wolfhelm der Gemeinde Schwalmtal - Sekundarstufen I und II -,"20",GY,Gymnasium,Turmstr.,"2","","41366",Schwalmtal,"02163-31906","02163-31907",,,32000,+,+,"165839",,"Schwalmtal, Gym St.Wolfhelm"
110,"167903",Marienschule Priv. bischöfliches Mädchengymnasium ,"20",GY,Gymnasium,Hermannstr.,"21","","48151",Münster,"0251-289180","0251-2891839",,,32000,+,+,"167903",,"Münster, Gym Marienschule"
111,"169924",Geschwister-Scholl-Gymnasium der Stadt Winterberg ,"20",GY,Gymnasium,Ursulinenstraße,"24","","59955",Winterberg,"02981-92160","02981-921630",,,32000,+,+,"169924",,"Winterberg, Gym Geschwister-Scholl"
112,"165591",Städt. Konrad-Heresbach-Gymnasium  ,"20",GY,Gymnasium,Laubacher Str.,"13","","40822",Mettmann,"02104-96720","02104-967229",,,32000,+,+,"165591",,"Mettmann, Gym Konrad-Heresbach"
